activity_nm
outdoor walk
indoor walk
outdoor run
indoor run
traditional weight lifting
hiking
power lifting
boxing
rowing
cycling
dragonboat rowing
martial arts
stretching
yoga
pilates
soccer
basketball
hockey
bowling
golf
tennis
pickleball
snowboarding
skiing
skating
rugby
football
field hockey
volleyball
trail running
BMR
